startup_id,startup_name,industry,funding_stage,city,month,revenue,marketing_spend,tech_spend,hr_spend,operations_spend,other_spend,total_expense,cash_in_bank,burn_rate,runway_months,employee_count,customer_acquisition_cost,churn_rate,health_score,risk_level
2,AeroNest,HealthTech,Series A,Bengaluru,2025-10,1384338,223717,122608,93665,189465,32690,662145,10032132,-722193,15.2,149,2402.43,1.82,100.0,Safe
2,AeroNest,HealthTech,Series A,Bengaluru,2025-11,1445640,233138,313634,86284,63747,62917,759720,10719291,-685920,14.1,159,1664.44,2.85,100.0,Safe
2,AeroNest,HealthTech,Series A,Bengaluru,2025-12,1497694,309747,199403,200163,96905,61964,868181,11332086,-629513,13.1,152,2771.02,1.61,100.0,Safe
3,QuickBasket,E-commerce,Series B,Mumbai,2025-01,1052183,75914,336585,181030,96591,26013,716133,9566239,-336050,13.4,123,1723.53,4.56,89.6,Safe
3,QuickBasket,E-commerce,Series B,Mumbai,2025-02,991586,234751,122505,191691,58304,29300,636552,9905701,-355034,15.6,125,2569.79,9.71,98.2,Safe
3,QuickBasket,E-commerce,Series B,Mumbai,2025-03,1055055,282242,170308,96159,149714,31227,729650,10251359,-325405,14.0,123,6263.27,3.42,92.9,Safe
3,QuickBasket,E-commerce,Series B,Mumbai,2025-04,1170699,184764,201147,197002,62378,25902,671193,10758336,-499506,16.0,126,5045.17,3.29,100.0,Safe
3,QuickBasket,E-commerce,Series B,Mumbai,2025-05,1224359,202771,207005,139209,172417,23973,745376,11208977,-478983,15.0,128,6821.86,5.04,100.0,Safe
3,QuickBasket,E-commerce,Series B,Mumbai,2025-06,1324364,313246,218072,140965,149717,42216,864217,11653641,-460147,13.5,134,3897.25,3.59,95.9,Safe
3,QuickBasket,E-commerce,Series B,Mumbai,2025-07,1339222,183735,293178,171231,186063,30122,864329,12141464,-474893,14.0,132,3992.33,7.35,93.9,Safe
3,QuickBasket,E-commerce,Series B,Mumbai,2025-08,1428670,124902,123487,115114,74718,30201,468422,13130326,-960248,28.0,138,5605.98,4.09,100.0,Safe
3,QuickBasket,E-commerce,Series B,Mumbai,2025-09,1498014,281446,169307,69226,122650,69466,712095,13928224,-785919,19.6,144,8306.37,10.1,100.0,Safe
3,QuickBasket,E-commerce,Series B,Mumbai,2025-10,1513471,264833,156403,142796,94779,15268,674079,14779806,-839392,21.9,144,7176.84,7.23,100.0,Safe
3,QuickBasket,E-commerce,Series B,Mumbai,2025-11,1412859,129826,229798,175613,142922,52115,730273,15475243,-682586,21.2,136,6161.06,5.55,100.0,Safe
3,QuickBasket,E-commerce,Series B,Mumbai,2025-12,1504492,187297,395923,105158,155959,48783,893120,16080203,-611372,18.0,125,6691.32,9.94,100.0,Safe
4,EduSpark,EdTech,Seed,Hyderabad,2025-01,242528,189706,325807,162859,102175,41147,821694,1302884,579166,1.6,181,3312.42,6.12,8.7,Critical
4,EduSpark,EdTech,Seed,Hyderabad,2025-02,277301,176782,118898,188463,134468,41243,659855,900532,382554,1.4,183,7714.06,9.02,3.5,Critical
4,EduSpark,EdTech,Seed,Hyderabad,2025-03,278110,89770,144166,79518,182643,28681,524778,669650,246668,1.3,185,5161.21,5.62,20.6,Critical
4,EduSpark,EdTech,Seed,Hyderabad,2025-04,263919,196637,138511,92014,97408,54369,578940,381127,315021,0.7,182,1457.5,8.28,8.5,Critical
4,EduSpark,EdTech,Seed,Hyderabad,2025-05,282959,90485,123848,62944,129261,24913,431450,260234,148491,0.6,193,6499.7,10.23,11.5,Critical
4,EduSpark,EdTech,Seed,Hyderabad,2025-06,292564,231738,125343,164637,136965,16671,675354,150000,382790,0.2,186,3589.24,9.5,5.1,Critical
4,EduSpark,EdTech,Seed,Hyderabad,2025-07,339854,99044,347928,122758,138316,39656,747702,150000,407848,0.2,188,5817.49,9.64,5.3,Critical
4,EduSpark,EdTech,Seed,Hyderabad,2025-08,339570,124193,283218,136722,187501,37766,769400,150000,429830,0.2,183,4219.64,9.88,1.4,Critical
4,EduSpark,EdTech,Seed,Hyderabad,2025-09,304435,264344,207719,201987,71389,22559,767998,150000,463563,0.2,183,3133.23,9.44,0.0,Critical
4,EduSpark,EdTech,Seed,Hyderabad,2025-10,342687,345201,247366,201829,123133,46708,964237,150000,621550,0.2,185,6251.66,3.27,5.6,Critical
4,EduSpark,EdTech,Seed,Hyderabad,2025-11,304927,182100,129391,109512,69732,64130,554866,150000,249939,0.3,190,6770.43,9.94,7.7,Critical
4,EduSpark,EdTech,Seed,Hyderabad,2025-12,261510,194979,330951,146485,125134,69319,866868,150000,605358,0.2,202,4042.97,6.35,7.1,Critical
5,GreenCircuit,CleanTech,Series A,Chennai,2025-01,223369,123795,339295,198479,97415,24607,783591,3769992,560222,4.8,199,7291.69,9.32,15.5,Critical
5,GreenCircuit,CleanTech,Series A,Chennai,2025-02,228433,255915,235875,67894,150865,49610,760159,3235296,531726,4.3,203,4747.23,6.05,19.2,Critical
5,GreenCircuit,CleanTech,Series A,Chennai,2025-03,234662,154068,356903,85870,144076,32112,773029,2683403,538367,3.5,201,6861.02,3.26,17.5,Critical
5,GreenCircuit,CleanTech,Series A,Chennai,2025-04,259673,218248,194504,107525,99520,65589,685385,2276546,425712,3.3,209,3507.14,9.54,11.0,Critical
5,GreenCircuit,CleanTech,Series A,Chennai,2025-05,248252,138675,243392,200984,96937,56709,736698,1797332,488446,2.4,202,5297.62,7.32,12.5,Critical
5,GreenCircuit,CleanTech,Series A,Chennai,2025-06,249723,141316,269561,117825,163437,30688,722827,1328010,473104,1.8,214,1500.56,8.19,8.6,Critical
5,GreenCircuit,CleanTech,Series A,Chennai,2025-07,244508,318664,212590,128038,80775,48923,788990,766647,544482,1.0,213,5187.54,4.05,11.7,Critical
5,GreenCircuit,CleanTech,Series A,Chennai,2025-08,207646,227064,202445,73274,192289,16830,711902,258910,504256,0.4,201,6563.58,2.47,12.5,Critical
5,GreenCircuit,CleanTech,Series A,Chennai,2025-09,258500,321463,182837,201438,90688,27690,824115,150000,565615,0.2,200,2374.03,8.11,4.1,Critical
5,GreenCircuit,CleanTech,Series A,Chennai,2025-10,198743,296817,282198,166478,118395,67990,931878,150000,733135,0.2,209,7606.93,5.25,5.9,Critical
5,GreenCircuit,CleanTech,Series A,Chennai,2025-11,228887,311476,401359,169819,192690,38896,1114240,150000,885353,0.1,213,1730.7,3.4,4.8,Critical
5,GreenCircuit,CleanTech,Series A,Chennai,2025-12,253474,111157,172178,98234,88504,45807,515879,150000,262405,0.3,215,5853.63,7.3,7.4,Critical
6,FleetForge,Logistics,Series B,Delhi,2025-01,673343,196524,253595,60500,112845,57793,681257,8919723,7914,13.1,72,8065.49,2.38,80.1,Safe
6,FleetForge,Logistics,Series B,Delhi,2025-02,758371,163383,304115,83211,160993,58292,769994,8890440,11623,11.5,77,4293.96,7.91,59.8,Warning
6,FleetForge,Logistics,Series B,Delhi,2025-03,815889,105489,338347,165736,155589,61628,826789,8861777,10900,10.7,74,4391.54,9.56,60.3,Warning
6,FleetForge,Logistics,Series B,Delhi,2025-04,934240,282643,148651,191984,171520,26699,821497,8975340,-112743,10.9,77,8362.73,2.51,78.3,Warning
6,FleetForge,Logistics,Series B,Delhi,2025-05,983143,198450,314679,154231,63825,67482,798667,9174152,-184476,11.5,90,6016.49,9.53,72.5,Warning
6,FleetForge,Logistics,Series B,Delhi,2025-06,1073381,285144,208298,192299,107740,63716,857198,9396728,-216183,11.0,85,8486.77,3.02,76.9,Warning
6,FleetForge,Logistics,Series B,Delhi,2025-07,1129735,103332,305201,108961,76619,23325,617439,9919457,-512296,16.1,83,8000.17,3.53,100.0,Safe
6,FleetForge,Logistics,Series B,Delhi,2025-08,1113976,88032,143233,197276,166609,57982,653132,10361427,-460844,15.9,85,4547.88,10.1,100.0,Safe
6,FleetForge,Logistics,Series B,Delhi,2025-09,1133651,125649,280358,202047,147041,37964,793059,10715059,-340592,13.5,75,7203.14,2.74,91.1,Safe
6,FleetForge,Logistics,Series B,Delhi,2025-10,1087404,130828,265394,104524,57556,15933,574235,11254889,-513169,19.6,91,2832.56,6.67,100.0,Safe
6,FleetForge,Logistics,Series B,Delhi,2025-11,1167924,335455,396190,97374,130922,64118,1024059,11415465,-143865,11.1,102,5071.89,4.54,76.5,Warning
6,FleetForge,Logistics,Series B,Delhi,2025-12,1187121,129934,237334,125728,175696,28830,697522,11890440,-489599,17.0,74,8011.98,7.57,100.0,Safe
7,MedAxis,HealthTech,Series C,Pune,2025-01,714550,146799,221376,123055,150097,53432,694759,17914675,-19791,25.8,31,7444.89,9.31,100.0,Safe
7,MedAxis,HealthTech,Series C,Pune,2025-02,702312,158565,160360,171879,160932,23590,675326,17926082,-26986,26.5,35,5685.22,5.03,100.0,Safe
7,MedAxis,HealthTech,Series C,Pune,2025-03,739949,89404,338412,156408,171016,45026,800265,17883849,60316,22.3,37,1779.31,2.98,94.6,Safe
7,MedAxis,HealthTech,Series C,Pune,2025-04,740816,258283,253852,202502,108286,69207,892130,17705328,151314,19.8,38,5038.72,9.93,73.9,Safe
7,MedAxis,HealthTech,Series C,Pune,2025-05,876674,217624,131735,208986,72697,49308,680350,17900915,-196324,26.3,33,7408.94,7.19,100.0,Safe
7,MedAxis,HealthTech,Series C,Pune,2025-06,895857,224220,102021,185899,159367,27000,698506,18068330,-197351,25.9,40,8265.82,4.79,100.0,Safe
7,MedAxis,HealthTech,Series C,Pune,2025-07,949536,257071,99223,106416,76944,24277,563932,18434439,-385604,32.7,41,1696.33,2.17,100.0,Safe
7,MedAxis,HealthTech,Series C,Pune,2025-08,916427,221300,278784,99235,131544,19047,749909,18624338,-166518,24.8,53,4765.73,5.79,100.0,Safe
7,MedAxis,HealthTech,Series C,Pune,2025-09,909675,180327,301133,214687,129128,51401,876676,18632313,-32999,21.3,38,7893.99,6.76,99.6,Safe
7,MedAxis,HealthTech,Series C,Pune,2025-10,908292,231848,335497,97299,180685,51719,897047,18648937,-11245,20.8,29,2137.57,1.97,100.0,Safe
7,MedAxis,HealthTech,Series C,Pune,2025-11,894395,101874,178412,123367,94926,17765,516344,19036559,-378051,36.9,53,6082.73,9.84,100.0,Safe
7,MedAxis,HealthTech,Series C,Pune,2025-12,941703,332380,134701,218582,121286,51813,858763,19103286,-82940,22.2,31,5011.42,3.56,100.0,Safe
8,PixelCart,E-commerce,Series A,Ahmedabad,2025-01,329943,186194,175357,192527,129447,48565,732090,4236255,402147,5.8,29,7497.74,7.82,25.2,Critical
8,PixelCart,E-commerce,Series A,Ahmedabad,2025-02,338916,124717,275669,134254,110382,48302,693324,3887433,354408,5.6,32,1771.35,8.47,18.8,Critical
8,PixelCart,E-commerce,Series A,Ahmedabad,2025-03,391766,218189,310694,189762,118883,31230,868758,3399709,476992,3.9,35,3192.42,6.51,24.3,Critical
8,PixelCart,E-commerce,Series A,Ahmedabad,2025-04,394548,268493,237378,132660,176080,51668,866278,2916026,471730,3.4,35,4938.97,3.75,21.6,Critical
8,PixelCart,E-commerce,Series A,Ahmedabad,2025-05,413058,132956,328812,185827,70693,42304,760592,2572706,347534,3.4,36,2379.14,5.98,20.0,Critical
8,PixelCart,E-commerce,Series A,Ahmedabad,2025-06,441674,112070,207319,186452,95987,19754,621582,2391245,179908,3.8,45,4545.28,9.95,20.6,Critical
8,PixelCart,E-commerce,Series A,Ahmedabad,2025-07,405816,275452,166859,184691,63159,28938,719099,2053537,313283,2.9,42,6966.17,9.24,15.5,Critical
8,PixelCart,E-commerce,Series A,Ahmedabad,2025-08,454678,279868,187155,99807,179305,65917,812052,1721843,357374,2.1,50,7129.81,4.42,17.4,Critical
8,PixelCart,E-commerce,Series A,Ahmedabad,2025-09,430275,128165,376639,170967,74239,31587,781598,1383720,351323,1.8,53,1451.13,6.89,13.3,Critical
8,PixelCart,E-commerce,Series A,Ahmedabad,2025-10,413578,125056,390027,202336,85871,63934,867225,937989,453647,1.1,30,4261.81,9.53,5.7,Critical
8,PixelCart,E-commerce,Series A,Ahmedabad,2025-11,486292,113609,223560,210260,78471,58767,684666,753149,198374,1.1,30,3812.4,9.31,15.9,Critical
8,PixelCart,E-commerce,Series A,Ahmedabad,2025-12,489108,351628,173170,115834,158263,43280,842176,391743,353068,0.5,41,4729.6,3.81,14.6,Critical
9,CropWise,AgriTech,Seed,Nagpur,2025-01,719879,180435,141313,153484,91749,21042,588023,1903113,-131856,3.2,155,5516.58,6.22,52.0,Critical
9,CropWise,AgriTech,Seed,Nagpur,2025-02,847656,264493,188721,65888,95242,51310,665654,2089633,-182002,3.1,156,2323.68,2.79,57.4,Critical
9,CropWise,AgriTech,Seed,Nagpur,2025-03,825598,197846,211627,66294,102384,36725,614876,2329461,-210722,3.8,158,3189.42,8.27,50.4,Critical
9,CropWise,AgriTech,Seed,Nagpur,2025-04,863465,217981,264968,142399,120657,19213,765218,2414411,-98247,3.2,162,8358.95,7.36,40.9,Critical
9,CropWise,AgriTech,Seed,Nagpur,2025-05,878292,107549,369127,125670,184456,21866,808668,2454123,-69624,3.0,162,3002.82,1.5,52.6,Critical
9,CropWise,AgriTech,Seed,Nagpur,2025-06,909176,101240,171587,139159,57947,66052,535985,2801459,-373191,5.2,158,3444.38,10.3,70.8,Critical
9,CropWise,AgriTech,Seed,Nagpur,2025-07,940709,131703,175376,100727,166896,42672,617374,3151688,-323335,5.1,158,3763.19,1.69,70.0,Critical
9,CropWise,AgriTech,Seed,Nagpur,2025-08,864255,333694,363458,138527,110433,24788,970899,3055553,106644,3.1,164,4955.77,2.66,40.1,Critical
9,CropWise,AgriTech,Seed,Nagpur,2025-09,797005,244373,370670,213662,134772,47414,1010890,2859557,213885,2.8,177,2141.06,3.05,40.2,Critical
9,CropWise,AgriTech,Seed,Nagpur,2025-10,871602,299260,199457,92464,94369,18770,704319,3005678,-167283,4.3,176,5426.31,2.31,60.5,Critical
9,CropWise,AgriTech,Seed,Nagpur,2025-11,873949,335528,310969,121029,116322,19745,903594,2989098,29645,3.3,157,6312.35,8.96,40.0,Critical
9,CropWise,AgriTech,Seed,Nagpur,2025-12,949452,171405,391419,72914,147804,20804,804347,3124581,-145105,3.9,191,6538.74,8.79,45.5,Critical
10,CloudMint,SaaS,Series B,Bengaluru,2025-01,735371,87464,159324,91897,109477,15756,463918,9036407,-271453,19.5,89,7428.81,6.67,100.0,Safe
10,CloudMint,SaaS,Series B,Bengaluru,2025-02,801704,162084,238507,171547,173175,32554,777867,9039330,-23837,11.6,95,3678.01,10.08,65.2,Warning
10,CloudMint,SaaS,Series B,Bengaluru,2025-03,791677,242294,127591,73038,121444,61500,625867,9216371,-165810,14.7,93,1459.49,7.53,80.0,Safe
10,CloudMint,SaaS,Series B,Bengaluru,2025-04,901593,140454,351041,91885,182347,25580,791307,9304898,-110286,11.8,101,6074.73,10.21,69.9,Warning
10,CloudMint,SaaS,Series B,Bengaluru,2025-05,915601,149746,109398,112645,79504,35446,486740,9709045,-428861,19.9,97,3456.69,8.83,100.0,Safe
10,CloudMint,SaaS,Series B,Bengaluru,2025-06,899945,258282,182702,211173,157025,28491,837673,9756780,-62272,11.6,90,2730.98,4.45,71.6,Warning
10,CloudMint,SaaS,Series B,Bengaluru,2025-07,974934,163532,225449,204854,146386,26658,766879,9969403,-208055,13.0,94,6807.33,5.95,77.1,Safe
10,CloudMint,SaaS,Series B,Bengaluru,2025-08,1001246,160643,199965,70201,88624,17421,536854,10453606,-464392,19.5,109,6458.31,8.47,100.0,Safe
10,CloudMint,SaaS,Series B,Bengaluru,2025-09,999510,85866,106212,211039,132005,27416,562538,10906284,-436972,19.4,106,7239.36,6.18,100.0,Safe
10,CloudMint,SaaS,Series B,Bengaluru,2025-10,989192,241668,243406,137839,188030,44298,855241,11034069,-133951,12.9,103,1716.34,6.79,70.2,Safe
10,CloudMint,SaaS,Series B,Bengaluru,2025-11,954503,117433,301960,194087,149655,47440,810575,11158299,-143928,13.8,111,2975.07,9.12,78.9,Safe
10,CloudMint,SaaS,Series B,Bengaluru,2025-12,984093,259989,359739,184567,196670,48206,1049171,11107027,65078,10.6,124,5071.07,9.76,53.8,Warning
11,PayOrbit,FinTech,Series C,Mumbai,2025-01,678534,130179,179837,112068,159089,61315,642488,18119343,-36046,28.2,100,6527.3,9.47,100.0,Safe
11,PayOrbit,FinTech,Series C,Mumbai,2025-02,672523,266283,260568,97786,104074,37777,766488,18053415,93965,23.6,107,4350.71,3.19,100.0,Safe
11,PayOrbit,FinTech,Series C,Mumbai,2025-03,732603,87627,318693,96288,52905,19634,575148,18233683,-157455,31.7,102,4545.03,9.17,100.0,Safe
11,PayOrbit,FinTech,Series C,Mumbai,2025-04,824190,247994,297009,131574,109652,25698,811927,18234573,-12263,22.5,108,1821.24,8.53,96.5,Safe
11,PayOrbit,FinTech,Series C,Mumbai,2025-05,934871,91285,118876,167518,170667,48157,596502,18583113,-338369,31.2,106,6813.77,10.39,100.0,Safe
11,PayOrbit,FinTech,Series C,Mumbai,2025-06,955353,270356,370362,141941,134907,30873,948440,18590787,-6913,19.6,101,6518.06,4.23,90.0,Safe
11,PayOrbit,FinTech,Series C,Mumbai,2025-07,953350,281773,181837,77032,116834,27147,684623,18844743,-268727,27.5,124,3474.51,10.19,100.0,Safe
11,PayOrbit,FinTech,Series C,Mumbai,2025-08,925619,126877,177381,191727,54007,32251,582244,19172319,-343375,32.9,100,2805.92,5.11,100.0,Safe
11,PayOrbit,FinTech,Series C,Mumbai,2025-09,992579,191930,383181,160264,191682,50853,977910,19204175,-14669,19.6,120,4268.74,8.36,87.3,Safe
11,PayOrbit,FinTech,Series C,Mumbai,2025-10,1026397,182678,174881,76485,192462,35286,661793,19572340,-364604,29.6,111,3344.35,3.84,100.0,Safe
11,PayOrbit,FinTech,Series C,Mumbai,2025-11,1034679,152534,210997,120916,55154,36976,576578,20055081,-458101,34.8,100,4698.47,10.36,100.0,Safe
11,PayOrbit,FinTech,Series C,Mumbai,2025-12,1141339,207450,130470,208768,96080,47949,690717,20513896,-450622,29.7,115,1678.76,6.15,100.0,Safe
12,BuildFlow,PropTech,Series A,Pune,2025-01,640522,202313,293486,61297,61908,32312,651316,4321057,10794,6.6,193,2370.3,3.64,56.7,Warning
12,BuildFlow,PropTech,Series A,Pune,2025-02,674819,289867,115231,98886,103388,53456,660827,4349472,-13992,6.6,196,3022.94,3.84,59.1,Warning
12,BuildFlow,PropTech,Series A,Pune,2025-03,756873,84159,199077,67478,91060,34938,476712,4646334,-280161,9.7,200,2812.29,7.91,80.3,Warning
12,BuildFlow,PropTech,Series A,Pune,2025-04,848690,249168,157825,85103,130556,49680,672332,4818754,-176358,7.2,201,2058.76,6.16,67.6,Warning
12,BuildFlow,PropTech,Series A,Pune,2025-05,845979,317167,303954,105532,141632,61923,930208,4741362,84229,5.1,201,5772.77,9.21,37.4,Critical
12,BuildFlow,PropTech,Series A,Pune,2025-06,921411,303084,344482,171836,157688,36373,1013462,4653968,92051,4.6,191,4022.94,6.87,39.5,Critical
12,BuildFlow,PropTech,Series A,Pune,2025-07,976039,289992,379473,203197,73765,33623,980049,4677044,4010,4.8,190,7252.67,4.68,48.1,Critical
12,BuildFlow,PropTech,Series A,Pune,2025-08,1012637,296210,278670,106172,59641,69057,809750,4886921,-202887,6.0,204,6471.88,9.57,53.2,Warning
12,BuildFlow,PropTech,Series A,Pune,2025-09,1047647,335201,310727,213144,142803,43130,1045004,4867054,-2643,4.7,197,7242.77,4.84,44.6,Critical
12,BuildFlow,PropTech,Series A,Pune,2025-10,1036789,309601,310736,213317,74402,49324,957380,4928261,-79409,5.1,222,4785.56,6.48,45.6,Critical
12,BuildFlow,PropTech,Series A,Pune,2025-11,1014073,320831,255550,71921,174151,59988,882440,5088854,-131633,5.8,214,8434.55,3.44,57.7,Critical
12,BuildFlow,PropTech,Series A,Pune,2025-12,1061842,272192,348547,136154,67880,17042,841814,5317108,-220028,6.3,206,5167.18,10.41,56.6,Warning
